大数据开发工程师（实时）,3-5年,本科,深圳,南山区,科技园,15-30K,巧达,实时
大数据开发工程师（实时）,3-5年,本科,深圳,南山区,科技园,15-30K,巧达,实时
大数据开发（spark）,3-5年,大专,深圳,罗湖区,东门,15-18K,深圳华云信息系统,Java.Spark.Flink.计算机相关专业.大数据开发经验.证券行业风控系统
大数据测试（现场面试）,3-5年,大专,深圳,南山区,西丽,12-15K,曲径科技,Hive.SQL.Kafka.大数据开发经验.数仓建设经验
大数据开发（现场面试）,3-5年,本科,深圳,南山区,西丽,10-15K,极联股份,Flink.Spark.Hive.大数据开发经验.ETL开发经验.计算机相关专业
大数据开发设计,5-10年,大专,深圳,龙岗区,坂田,18-24K·16薪,中软国际,大数据开发经验.数仓建设经验.数据迁移.MRS.云大数据平台分析
大数据开发（需出差）,3-5年,大专,深圳,福田区,梅林,12-20K·13薪,赛意信息,大数据开发经验.ETL开发经验.帆软
中级大数据工程师,3-5年,大专,深圳,宝安区,西乡,17-23K·13薪,跨越速运集团有限公司,hadoop.数仓
大数据（周末双休）,1-3年,本科,深圳,福田区,会展中心,13-17K,上海海万信息科技,Java.Python.Spark.计算机相关专业.ETL开发经验.大数据开发经验.Hadoop
大数据,1-3年,大专,深圳,宝安区,沙井,10-15K·13薪,霖鑫网络科技有限公司,MySQL/Oracle.大数据运维经验.大数据
大数据工程师,1-3年,本科,深圳,南山区,科技园,18-30K,睿服科技,Python.Spark.大数据.Hadoop.Flink.HIVE.Flume.Java
高级大数据产品经理,3-5年,本科,深圳,,,45-75K,某500强上市公司,Python.大数据开发经验
大数据总监/AI总监,10年以上,硕士,深圳,,,40-60K·19薪,某500强上市公司,AI大模型.机器学习算法.计算机视觉.NLP
大数据开发工程师,1-3年,本科,深圳,龙岗区,坂田,11-20K,软通动力,Python.Shell.Java.ETL开发经验.计算机相关专业.数学/统计相关专业.hadoop.linux.数据开发
大数据开发工程师（短期）,5-10年,大专,深圳,光明区,光明,12-15K,锦中集团,不限.Shell.Python.Kafka.计算机相关专业
大数据技术专家,5-10年,本科,深圳,龙岗区,坂田,150-260K·15薪,华为,数仓建设经验.Hive.留学生优先.大数据平台架构经验.大数据处理经验.AI.国内院校优先.甲骨文.Spark.Flink.数学/统计相关专业
大数据工程师（vivo）,3-5年,本科,深圳,福田区,梅林,20-30K,山风泽,国内院校优先.Hive.Python.Spark.计算机相关专业.数据挖掘用户画像分析.挖掘类标签开发.主动分析挖掘解决问题
大数据运维开发（线上面试）,1-3年,本科,深圳,龙岗区,坂田,11-18K,深圳易宝软件有限公司,Java.Python.Shell.大数据开发经验.计算机相关专业.Hodoop
大数据测试,1-3年,大专,深圳,福田区,香蜜湖,15-30K·14薪,朴朴科技,大数据开发经验.ETL开发经验.计算机相关专业.数据测试
大数据软件销售经理,1年以内,学历不限,深圳,龙岗区,龙岗中心城,15-20K,探迹,个人客户开发（销售方向）.渠道/机构客户开发（销售方向）.企业服务.互联网/科技.地推.拜访.行业会议会展.销售经验
大数据测试工程师,1-3年,大专,深圳,南山区,西丽,14-18K,腾云悦智,SQL.Hive.C++.python.Java
大数据开发,3-5年,本科,深圳,福田区,新洲,14-18K,博奥特,Spark.java
大数据,经验不限,本科,深圳,龙岗区,坂田,13-26K,华为终端有限公司,Java.Python.SQL.计算机相关专业.数学/统计相关专业.大数据开发经验
大数据测试工程师,3-5年,大专,深圳,福田区,竹子林,13-20K·13薪,上海瑞应人才科技,Hive.Spark.Flink.大数据开发经验.数仓建设经验.ETL开发经验.数据测试.大数据测试
大数据运维,3-5年,大专,深圳,福田区,车公庙,9-11K,湖南拓维信创系统集成,大数据运维经验
大数据开发,3-5年,本科,深圳,南山区,蛇口,10-15K,法本,数仓
高级大数据运维工程师,3-5年,大专,深圳,福田区,车公庙,7-12K,嘉环科技股份有限公司,Hive.Spark.Hbase.计算机相关专业.大数据平台架构经验.大数据处理经验
大数据分析师,经验不限,本科,深圳,坪山区,坪山,9-14K,比亚迪汽车工业,SQL.MATLAB.Python.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
大数据测试工程师,1-3年,大专,深圳,福田区,华强南,12-20K,永旺数字科技,功能测试.性能测试.自动化测试.计算机相关专业.日语.英语
大数据运维工程师,1-3年,硕士,深圳,南山区,科技园,8-12K,君义振华(北京)...,系统运维.运维开发/DevOps.实施交付运维.计算机相关专业.运维经验.大数据运维经验
大数据 2年以上 双休 食堂,1-3年,本科,深圳,,,15-30K,某500强上市公司,Spark.大数据开发经验.数仓建设经验
大数据开发岗,3-5年,本科,深圳,福田区,新洲,25-50K,中信银行信用卡中心,Python.Shell.Spark.SQL.HIVE
大数据工程师,3-5年,大专,深圳,罗湖区,东门,15-25K·13薪,海南钦诚,Python.SQL.大数据开发经验.数仓建设经验.ETL开发经验.Airflow.GCP.AWS
大数据分析师,经验不限,本科,深圳,龙岗区,横岗,9-14K,深圳市恩洛斯电子商务,数据分析/挖掘经验.计算机相关专业.SQL.Python.数学/统计相关专业
技能评估（大数据开发方向）,1-3年,本科,深圳,南山区,科技园,9-12K,至简天成,Java.Hadoop
大数据开发,1-3年,本科,深圳,福田区,车公庙,10-15K,中电金信软件有限公司,Java.Hive.Spark.计算机相关专业.大数据开发经验.数仓建设经验.金融.银行.保险
大数据开发（vivo）,3-5年,本科,深圳,宝安区,宝安中心区,20-28K,微创软件,Java.Python.Spark.计算机相关专业
大数据测试工程师,3-5年,大专,深圳,福田区,福田中心,11-20K,永映软件,Python.Linux.大数据测试.SQL
大数据分析师,1-3年,本科,深圳,福田区,梅林,15-22K,诚迈科技,SQL.数据分析
大数据开发工程师,1-3年,本科,深圳,南山区,科技园,10-15K·14薪,名通科技,Java.Scala.计算机相关专业.大数据开发经验.HaDoop
大数据开发-数仓,5-10年,大专,深圳,南山区,南头,18-21K,建广数科,Hive.Flink.数仓建设经验
大数据运维,5-10年,学历不限,深圳,福田区,车公庙,13-20K,拓保软件,运维开发/DevOps.DBA.大数据运维经验.运维开发经验.混合云环境部署
大数据分析工程师,1-3年,本科,深圳,宝安区,沙井,14-18K,深联电路,回归分析.Hadoop.帆软，SMART BI
大数据,3-5年,本科,深圳,罗湖区,园岭,14-19K,德科信息,Java.Spark
大数据/Hadoop工程师,3-5年,本科,深圳,福田区,会展中心,13-18K,紫川软件,Spark.Hadoop.大数据BI.金融 银行 保险 证券
大数据开发,3-5年,本科,深圳,福田区,会展中心,12-20K,申朴信息,Hive.大数据开发经验.计算机相关专业.Spark.数学/统计相关专业
大数据总监,经验不限,本科,深圳,,,80-100K,某大型互联网公司,数据分析/挖掘经验
大数据分析师,3-5年,大专,深圳,龙岗区,坂田,21-25K,蓝创动力,MATLAB.Power BI.Hive.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
大数据架构师—深圳,10年以上,大专,深圳,坪山区,坪山,20-25K,上海众调信息科技,Java.大数据开发经验.大数据架构设计经验
大数据平台开发工程师,1-3年,本科,深圳,南山区,科技园,15-25K·14薪,广东小天才,Java.Python.计算机相关专业.Trino.Clickhouse.Starrocks
大数据架构,经验不限,学历不限,深圳,,,40-70K·15薪,某大型移动互联网公司,Spark.Kafka
大数据开发,3-5年,大专,深圳,,,35-60K,某大型计算机服务公司,Hbase.Kafka
大数据,1-3年,本科,深圳,福田区,新洲,11-17K,金信云服,Spark.ETL开发经验.Hadoop
大数据开发工程师,5-10年,大专,深圳,宝安区,石岩,30-50K·13薪,红米,SQL.ETL开发经验.大数据开发经验
高级大数据工程师,1-3年,本科,深圳,南山区,南油,20-30K,海王星辰健康药房,Java.Python.数仓建设经验.大数据开发经验.计算机相关专业.MySql.Oracle
大数据工程师,经验不限,本科,深圳,,,20-40K,某大型电子公司,Spark.Hive.SQL
大数据开发,经验不限,本科,深圳,龙岗区,坂田,14-28K,华为,大数据开发经验.数学/统计相关专业
大数据算法工程师,1-3年,本科,深圳,,,10-15K,清能艾科,python.xgboost.机器学习
大数据开发工程,3-5年,本科,深圳,南山区,南山中心,15-30K,健康160,Hive.Flink.SQL.大数据开发经验.ETL开发经验
大数据开发岗,3-5年,本科,深圳,福田区,华强北,10-15K,天威视讯,Java.计算机相关专业.大数据开发经验
大数据实时开发平台工程师,3-5年,本科,深圳,福田区,梅林,25-35K,货拉拉科技,Spark.Flink.Java.大数据开发经验
大数据开发工程师,3-5年,本科,深圳,,,8-11K,鹏鼎控股,SQL
测试、开发、大数据,经验不限,本科,深圳,龙岗区,坂田,14-28K·14薪,华为技术,Java.不接受居家办公.C.MySQL.Hadoop.云计算经验.Spring.Python
资深大数据研发工程师,3-5年,本科,深圳,龙华区,民治,15-30K·13薪,老百姓大药房,Scala.Spark.Flink
大数据平台架构师,5-10年,学历不限,深圳,,,50-60K·15薪,某500强上市公司,分布式技术.Java.大数据架构
大数据开发,1-3年,本科,深圳,,,15-30K,某知名互联网公司,Python.Java.C++.Django.Pandas.Numpy.MySQL.Oracle.Spark.微服务经验
大数据etl工程师,3-5年,大专,深圳,南山区,科技园,13-14K,平熙信息,Hive.计算机相关专业.数学/统计相关专业.物流行业数据相关经验
大数据架构,10年以上,本科,深圳,,,50-70K,某大型知名消费电子公司,数仓建设经验.Hive.大数据平台架构经验.Spark.Hbase.电商/零售行业数据相关经验
大数据开发,经验不限,本科,深圳,龙岗区,坂田,15-30K·14薪,华为云计算,Java.Python.C++
大数据开发（数仓建模方向）,3-5年,本科,深圳,南山区,科技园,15-30K,深圳市光子跃动科...,SQL.数仓建设经验.计算机相关专业.数学/统计相关专业
大数据运维工程师,5-10年,大专,深圳,福田区,新洲,12-20K,泓齐网科,计算机相关专业.运维经验.大数据运维经验.系统运维.Docker
大数据总监,10年以上,本科,深圳,,,120-200K,某大型互联网公司,Hadoop.Storm.HIVE.Flink
大数据工程师,1-3年,本科,深圳,南山区,科技园,11-16K,明睿数据,大数据开发经验
大数据经理（上市央企）,10年以上,本科,深圳,,,45-60K·15薪,某500强上市公司,Hive.Python.大数据开发经验.数仓建设经验.ETL开发经验.商业.物业.数字化
大数据开发,1-3年,本科,深圳,福田区,购物公园,11-13K,博悦科创,SQL.大数据开发经验.数仓建设经验.ETL开发经验.保险.Hadoop
大数据开发工程师,经验不限,本科,深圳,南山区,南油,30-40K·15薪,北京字节跳动,Python
大数据开发工程师(中级),3-5年,本科,深圳,龙岗区,坂田,10-15K,天阳科技,Java.ETL开发经验.大数据开发经验.数仓建设经验
大数据运维工程师,3-5年,大专,深圳,龙华区,观澜,9-14K,福特智能,网络运维.计算机相关专业
大数据开发,3-5年,本科,深圳,,,20-35K·18薪,某大型互联网金融上市公司,大数据开发经验
信贷大数据应用岗,5-10年,本科,深圳,,,15-16K·16薪,微众银行,Hive.大数据开发经验.计算机相关专业.Python
大数据测试,3-5年,大专,深圳,福田区,竹子林,11-16K,新致软件,自动化测试经验.数据测试.SQL.HIVE
大数据数仓工程师,3-5年,本科,深圳,福田区,梅林,15-22K,立创商城 ,SQL.Hive.Spark.数仓设计/开发经验.ETL设计/开发经验.数据建模经验
大数据开发工程师,3-5年,本科,深圳,,,25-30K,vivo,Spark.Kylin.Flink.Druid.大数据.HIVE
大数据工程师,3-5年,本科,深圳,,,24-45K·15薪,某大型半导体公司,Hive.Spark
大数据工程师,1-3年,本科,深圳,龙岗区,坂田,15-30K·14薪,华为,Java.C++.Python.数学/统计相关专业.大数据开发经验.计算机相关专业
大数据工程师,经验不限,本科,深圳,龙华区,龙华,7-10K,三赢科技,数学/统计相关专业.C++.Pytho.统计及分析
大数据开发工程师,1-3年,本科,深圳,福田区,市民中心,12-20K,博彦科技,Java.Spark.计算机相关专业.大数据开发经验.scala
大数据开发工程师,3-5年,本科,深圳,福田区,皇岗,18-35K·15薪,科锐国际,Java.Spark.Hbase
大数据开发工程师,3-5年,本科,深圳,南山区,深圳湾,20-35K·13薪,天虹股份,Flink.Kafka.Java.Hive.数据仓库.Hadoop.分布式技术.Spark.大数据
大数据开发,3-5年,本科,深圳,南山区,西丽,20-35K·14薪,领星,Flink.Kafka.大数据开发经验
大数据分析,3-5年,本科,深圳,龙岗区,横岗,12-24K,达利誉,Power BI.Python.SQL.计算机相关专业.数学/统计相关专业.数据分析/挖掘经验
大数据开发工程师,经验不限,本科,深圳,南山区,西丽,20-40K·15薪,企知道,SQL.Java.Scala.HIVE.Hadoop.Spark.Flink.数仓
大数据总监,经验不限,本科,深圳,,,40-70K·15薪,某500强上市公司,Spark.Storm.Kafka.Hadoop.Flink
决策引擎（大数据开发）,5-10年,本科,深圳,福田区,梅林,35-55K·14薪,无域科技,计算机相关专业.数学/统计相关专业.数仓建设经验.特征开发
大数据开发工程师,1-3年,硕士,深圳,南山区,科技园,10-15K,深圳星桥湾创投,数学/统计相关专业.大数据开发经验.数仓建设经验
大数据总监,3-5年,本科,深圳,,,70-90K,某大型互联网公司,Hive.Spark.Storm.数据管理.数据平台建设.数据挖掘分析
大数据销售经理,3-5年,本科,深圳,,,20-21K,某500强上市公司,制定销售计划及策略.证券/互联网金融.销售工作经验.市场开发及维护.市场营销相关学历.市场分析判断能力.金融产品推广经验.个人.市场信息收集及分析.互联网/科技.团队管理能力
大数据分析师,3-5年,本科,深圳,福田区,会展中心,15-25K,星普云,数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
大数据开发工程师,3-5年,本科,深圳,,,20-25K·13薪,某大型知名汽车零部件公司,大数据开发经验.ETL开发经验.Spark.hadoop.Flink.Hbase
产品经理（大数据方向）,3-5年,本科,深圳,,,25-30K,某知名互联网公司,支付产品.大数据产品.需求分析
大数据工程师,5-10年,本科,深圳,南山区,西丽,20-35K·14薪,华鲤智能科技,Java.Python.Spark.计算机相关专业.大数据开发经验
大数据安全专家,5-10年,学历不限,深圳,,,50-70K,某大型知名电子商务公司,安全体系架构和研发.安全运维和保障.安全架构搭建经验.数据安全管理经验
大数据研究院研究员,1-3年,本科,深圳,龙华区,龙华,6-9K,万人机构,SQL.SPSS.SAS.数学/统计相关专业.经济/工商管理相关专业.旅游行业数据相关经验
高级大数据产品经理,5-10年,本科,深圳,,,90-120K,某500强上市公司,大数据产品.产品设计.数据分析
教育大数据产品经理,3-5年,大专,深圳,宝安区,新安,20-30K,鹰硕集团,大数据产品.用户研究.产品运营.数据分析.产品设计
大数据开发工程师,1-3年,本科,深圳,南山区,南油,12-18K,笑傲科技,大数据开发经验
大数据工程师,3-5年,本科,深圳,南山区,蛇口,15-25K,格物智享,Java.Python.Scala.计算机相关专业.数学/统计相关专业.大数据开发经验
大数据总监,经验不限,本科,深圳,,,55-60K,某贸易公司,Python.计算机相关专业.数学/统计相关专业
高级大数据架构师,5-10年,本科,深圳,,,55-85K·18薪,某500强上市公司,Java.大数据经验.不接受居家办公.Docker.MySQL.Oracle
大数据平台架构师,经验不限,硕士,深圳,,,25-45K·14薪,某知名新能源公司,计算机相关专业.大数据平台架构经验.大数据处理经验.能源
大数据运维工程师（医疗）,3-5年,大专,深圳,,,14-26K,某计算机软件公司,大数据运维经验.医疗.大数据.运维
大数据数仓工程师,1-3年,本科,深圳,,,20-35K·20薪,某500强上市公司,Python.Spark.SQL.HIVE
大数据运维架构师,经验不限,本科,深圳,,,40-50K,某500强上市公司,大数据运维架构师
大数据产品经理,3-5年,本科,深圳,宝安区,西乡,18-25K,万悉科技,大数据产品.产品设计.数据分析.TO C.市场调研.需求分析.时尚
大数据经理,1-3年,本科,深圳,福田区,华强南,20-40K,优特美尔,Python.SQL
大数据岗位，深圳,5-10年,本科,深圳,,,40-70K·24薪,某知名互联网金融上市公司,大数据平台架构经验.大数据处理经验.数仓建设经验
大数据平台开发,3-5年,本科,深圳,,,20-35K,某知名物流公司,Java
中级大数据开发银行,3-5年,本科,深圳,福田区,华强南,11-16K,砾阳软件,Spark.Kafka.Flink.计算机相关专业.大数据开发经验.银行，金融，.数据中台
大数据/数据架构师,经验不限,本科,深圳,,,40-70K·18薪,某大型互联网上市集团公司,Greenplum Gadoop
TME-大数据工程研发师,5-10年,硕士,深圳,南山区,科技园,25-40K·16薪,腾讯音乐娱乐集团,计算机相关专业.StarRocks.ClickHouse
大数据智能研发中心负责人,10年以上,本科,深圳,,,150-180K,某500强上市公司,算法基础
